Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,0,7,0.78,,"(0, 14)",1
System,2,0,9,0.95,,"(39, 3)",1
System,3,0,2,0.7,Pirates,"(20, 12)",1
System,4,0,3,0.74,,"(24, 10)",1
System,5,0,7,0.89,,"(23, 13)",1
System,6,0,1,0.77,,"(10, 6)",1
System,7,0,6,0.83,,"(3, 8)",1
System,8,0,6,0.87,,"(32, 6)",1
System,9,0,8,0.84,,"(25, 13)",1
System,10,0,2,0.84,Pirates,"(14, 3)",1
System,11,0,8,0.78,Pirates,"(31, 9)",1
System,12,0,10,0.82,,"(23, 1)",1
System,13,0,10,0.9,,"(38, 14)",1
System,14,0,3,0.97,,"(38, 10)",1
System,15,0,6,0.97,,"(29, 5)",1
System,16,0,7,0.85,,"(12, 8)",1
System,17,0,7,0.8,,"(10, 9)",1
System,18,0,1,0.99,,"(17, 6)",1
System,19,0,8,0.89,,"(7, 8)",1
System,20,250,10,0.5,Player_2,"(25, 11)",1
System,21,0,1,0.88,,"(32, 10)",1
System,22,0,3,0.97,,"(9, 4)",1
System,23,0,9,0.96,,"(16, 6)",1
System,24,0,4,0.85,,"(36, 10)",1
System,25,0,7,0.72,,"(12, 6)",1
System,26,0,1,0.74,,"(21, 4)",1
System,27,0,7,0.77,,"(27, 6)",1
System,28,0,7,0.94,Pirates,"(8, 14)",1
System,29,0,3,0.72,Pirates,"(38, 9)",1
System,30,0,10,0.87,,"(5, 11)",1
System,31,0,4,1.0,,"(36, 13)",1
System,32,0,10,0.98,,"(24, 14)",1
System,33,0,10,0.77,,"(19, 0)",1
System,34,0,8,0.85,,"(37, 12)",1
System,35,0,3,0.81,,"(20, 5)",1
System,36,0,10,0.72,,"(17, 11)",1
System,37,0,2,0.96,,"(6, 14)",1
System,38,0,4,0.79,,"(27, 5)",1
System,39,0,5,0.92,,"(18, 4)",1
System,40,0,6,0.82,,"(32, 7)",1
System,41,0,1,0.7,,"(32, 4)",1
System,42,0,6,0.74,,"(29, 12)",1
System,43,0,7,0.94,,"(18, 10)",1
System,44,0,6,0.75,Pirates,"(21, 5)",1
System,45,0,10,0.92,,"(6, 1)",1
System,46,0,3,0.74,,"(39, 5)",1
System,47,0,7,0.98,,"(23, 5)",1
System,48,0,4,0.85,,"(35, 13)",1
System,49,0,8,0.91,,"(39, 9)",1
System,50,0,9,0.83,,"(26, 4)",1
System,51,0,10,0.72,Pirates,"(21, 11)",1
System,52,0,9,0.96,,"(34, 6)",1
System,53,0,8,0.75,,"(7, 0)",1
System,54,0,6,0.72,,"(37, 0)",1
System,55,0,2,0.81,Pirates,"(39, 8)",1
System,56,0,2,0.77,,"(3, 4)",1
System,57,0,2,0.91,,"(21, 3)",1
System,58,0,8,0.82,,"(28, 9)",1
System,59,0,1,0.86,,"(30, 5)",1
System,60,0,7,0.88,,"(2, 10)",1
System,61,0,6,0.79,,"(22, 7)",1
System,62,0,5,0.84,,"(1, 12)",1
System,63,0,8,0.89,,"(9, 13)",1
System,64,0,1,0.86,Pirates,"(31, 2)",1
System,65,0,1,0.91,,"(5, 3)",1
System,66,0,2,0.76,,"(9, 6)",1
System,67,250,10,0.5,Player_1,"(18, 14)",1
System,68,0,7,0.91,Pirates,"(27, 2)",1
System,69,0,5,0.94,,"(38, 3)",1
System,70,0,3,0.93,,"(4, 6)",1
System,71,0,5,0.98,,"(18, 13)",1
System,72,0,8,0.8,,"(19, 6)",1
System,73,0,10,0.9,,"(24, 2)",1
System,74,0,5,0.76,,"(33, 10)",1
System,75,0,4,0.93,,"(16, 3)",1
System,76,0,6,0.84,,"(15, 10)",1
System,77,0,9,0.98,,"(28, 2)",1
System,78,0,9,0.87,Pirates,"(35, 1)",1
System,79,0,4,0.74,Pirates,"(1, 7)",1
System,80,0,2,0.9,Pirates,"(33, 2)",1
