Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,0,1,1.0,,"(35, 14)",1
System,2,0,4,0.86,,"(10, 8)",1
System,3,0,3,0.8,Pirates,"(14, 14)",1
System,4,0,10,0.79,Pirates,"(7, 1)",1
System,5,0,7,0.96,,"(34, 5)",1
System,6,0,2,0.82,Pirates,"(37, 13)",1
System,7,0,2,0.83,Pirates,"(3, 10)",1
System,8,0,4,0.98,,"(25, 1)",1
System,9,0,6,0.85,,"(20, 1)",1
System,10,0,10,0.95,,"(27, 5)",1
System,11,0,6,0.71,,"(5, 1)",1
System,12,0,7,0.81,,"(19, 7)",1
System,13,0,2,0.98,Pirates,"(31, 13)",1
System,14,0,7,0.99,,"(34, 1)",1
System,15,0,10,0.77,,"(32, 4)",1
System,16,0,1,0.88,Pirates,"(26, 9)",1
System,17,0,1,0.76,,"(11, 1)",1
System,18,0,1,0.76,,"(37, 3)",1
System,19,0,9,0.99,,"(10, 1)",1
System,20,0,2,0.72,Pirates,"(3, 9)",1
System,21,0,3,0.96,,"(5, 2)",1
System,22,0,8,0.97,Pirates,"(8, 4)",1
System,23,0,3,0.71,,"(4, 1)",1
System,24,0,6,1.0,,"(21, 9)",1
System,25,0,5,0.92,Pirates,"(34, 13)",1
System,26,0,4,0.85,Pirates,"(14, 6)",1
System,27,0,9,0.85,Pirates,"(13, 9)",1
System,28,0,8,0.95,Pirates,"(26, 5)",1
System,29,0,9,0.92,Pirates,"(21, 5)",1
System,30,0,2,0.86,,"(18, 12)",1
System,31,0,7,0.96,,"(10, 5)",1
System,32,0,1,0.89,,"(25, 13)",1
System,33,0,5,0.83,Pirates,"(6, 14)",1
System,34,0,4,0.71,,"(17, 7)",1
System,35,0,8,0.96,Pirates,"(25, 5)",1
System,36,0,1,0.83,,"(24, 8)",1
System,37,250,10,0.5,2,"(33, 14)",1
System,38,0,9,0.96,,"(23, 9)",1
System,39,0,9,0.89,,"(31, 3)",1
System,40,0,1,0.98,,"(17, 5)",1
System,41,0,7,0.76,Pirates,"(38, 5)",1
System,42,0,3,0.94,,"(31, 14)",1
System,43,0,4,0.82,,"(39, 9)",1
System,44,0,9,0.94,,"(32, 6)",1
System,45,0,8,0.95,,"(11, 11)",1
System,46,0,1,0.76,Pirates,"(3, 3)",1
System,47,0,1,0.96,,"(39, 2)",1
System,48,0,9,0.97,,"(0, 2)",1
System,49,0,6,0.73,,"(14, 12)",1
System,50,0,9,0.81,,"(3, 2)",1
System,51,0,2,0.95,Pirates,"(32, 1)",1
System,52,0,6,0.88,,"(25, 4)",1
System,53,0,2,0.91,Pirates,"(8, 5)",1
System,54,0,6,0.92,,"(12, 13)",1
System,55,0,6,0.74,Pirates,"(17, 0)",1
System,56,0,6,0.78,Pirates,"(35, 3)",1
System,57,0,10,0.99,Pirates,"(39, 13)",1
System,58,0,8,0.72,Pirates,"(0, 4)",1
System,59,0,2,0.91,,"(21, 10)",1
System,60,0,9,0.77,Pirates,"(13, 6)",1
System,61,0,10,0.9,Pirates,"(38, 12)",1
System,62,0,10,0.81,,"(39, 6)",1
System,63,0,7,0.88,,"(34, 6)",1
System,64,0,5,0.87,,"(27, 4)",1
System,65,0,10,0.92,,"(36, 7)",1
System,66,0,4,0.98,Pirates,"(39, 11)",1
System,67,0,8,0.97,Pirates,"(13, 4)",1
System,68,0,10,0.99,Pirates,"(4, 6)",1
System,69,0,4,0.71,,"(0, 13)",1
System,70,0,4,0.82,,"(32, 0)",1
System,71,0,4,0.91,,"(16, 10)",1
System,72,0,4,1.0,,"(12, 4)",1
System,73,0,4,0.82,Pirates,"(16, 8)",1
System,74,0,10,0.72,,"(39, 5)",1
System,75,0,9,0.7,Pirates,"(30, 9)",1
System,76,0,6,0.72,Pirates,"(15, 3)",1
System,77,0,5,0.7,,"(4, 12)",1
System,78,0,3,0.91,,"(14, 4)",1
System,79,0,2,0.88,,"(11, 2)",1
System,80,0,6,0.99,Pirates,"(36, 8)",1
