Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,0,10,0.73,,"(0, 6)",1
System,2,0,5,0.85,,"(4, 9)",1
System,3,0,2,0.82,,"(3, 2)",1
System,4,0,1,0.91,,"(28, 8)",1
System,5,0,8,0.96,,"(7, 6)",1
System,6,0,8,0.75,,"(15, 14)",1
System,7,0,9,0.87,,"(22, 1)",1
System,8,0,2,0.97,,"(11, 13)",1
System,9,0,6,0.79,,"(29, 2)",1
System,10,0,8,0.99,,"(26, 14)",1
System,11,0,5,0.85,,"(8, 12)",1
System,12,0,2,0.96,,"(26, 1)",1
System,13,0,8,0.91,,"(4, 5)",1
System,14,0,8,0.93,,"(14, 14)",1
System,15,0,7,0.73,,"(24, 3)",1
System,16,0,6,0.89,,"(34, 11)",1
System,17,0,7,0.87,,"(13, 5)",1
System,18,0,9,0.88,,"(20, 11)",1
System,19,0,1,0.82,,"(6, 4)",1
System,20,0,1,0.72,,"(23, 12)",1
System,21,0,7,0.98,,"(35, 3)",1
System,22,0,9,0.78,,"(8, 5)",1
System,23,0,9,0.86,,"(13, 2)",1
System,24,0,4,0.78,,"(1, 7)",1
System,25,0,3,0.7,,"(6, 6)",1
System,26,0,1,0.91,,"(17, 1)",1
System,27,0,6,0.96,,"(37, 5)",1
System,28,0,8,0.96,,"(26, 4)",1
System,29,0,8,0.97,,"(18, 3)",1
System,30,0,4,0.86,,"(35, 7)",1
System,31,250,10,0.5,testing,"(11, 9)",1
System,32,0,2,0.75,,"(31, 4)",1
System,33,0,9,0.85,,"(37, 0)",1
System,34,0,2,0.95,,"(2, 2)",1
System,35,0,6,0.89,,"(35, 6)",1
System,36,0,3,0.78,,"(4, 1)",1
System,37,0,1,0.7,,"(8, 3)",1
System,38,0,5,0.78,,"(36, 14)",1
System,39,0,3,0.88,,"(26, 9)",1
System,40,0,8,0.79,,"(29, 13)",1
System,41,0,5,0.78,,"(36, 5)",1
System,42,0,2,0.99,,"(8, 8)",1
System,43,0,4,0.94,,"(32, 5)",1
System,44,0,6,0.88,,"(33, 1)",1
System,45,0,10,0.89,,"(8, 4)",1
System,46,0,5,0.76,,"(19, 13)",1
System,47,0,7,0.96,,"(23, 5)",1
System,48,0,10,0.74,,"(39, 3)",1
System,49,250,10,0.5,time,"(6, 12)",1
System,50,0,5,0.91,,"(21, 11)",1
System,51,0,3,0.86,,"(24, 14)",1
System,52,0,2,0.81,,"(36, 10)",1
System,53,0,7,0.96,,"(21, 1)",1
System,54,0,9,0.71,,"(14, 4)",1
System,55,0,7,0.99,,"(22, 0)",1
System,56,0,3,0.84,,"(33, 5)",1
System,57,0,6,0.81,,"(13, 13)",1
System,58,0,1,0.92,,"(9, 9)",1
System,59,0,5,0.81,,"(18, 10)",1
System,60,0,5,0.76,,"(2, 12)",1
System,61,0,7,0.7,,"(17, 8)",1
System,62,0,1,0.95,,"(5, 12)",1
System,63,0,1,0.81,,"(30, 8)",1
System,64,0,6,0.76,,"(27, 13)",1
System,65,0,7,0.89,,"(19, 0)",1
System,66,0,6,0.95,,"(3, 13)",1
System,67,0,8,0.83,,"(2, 5)",1
System,68,0,5,0.73,,"(10, 8)",1
System,69,0,10,0.95,,"(21, 7)",1
System,70,0,10,0.7,,"(37, 13)",1
System,71,0,7,0.76,,"(33, 9)",1
System,72,0,9,0.85,,"(21, 5)",1
System,73,0,8,0.88,,"(23, 14)",1
System,74,0,4,0.71,,"(23, 3)",1
System,75,0,6,0.87,,"(31, 9)",1
System,76,0,10,0.97,,"(10, 0)",1
System,77,0,7,1.0,,"(17, 4)",1
System,78,0,4,0.71,,"(25, 4)",1
System,79,0,6,0.77,,"(2, 10)",1
System,80,0,2,0.84,,"(18, 13)",1
