Type,ID,Current Ships,Ship Production,Defense Factor,Owner,Grid Position,Year
System,1,28,7,0.83,Owner A,"(16, 9)",5
System,2,24,6,0.73,Owner B,"(39, 12)",5
System,3,40,10,0.99,Owner A,"(24, 2)",5
System,4,8,2,0.93,Owner D,"(0, 9)",5
System,5,16,4,0.73,Owner A,"(21, 8)",5
System,6,36,9,0.8,Owner B,"(12, 5)",5
System,7,36,9,0.96,Owner D,"(22, 1)",5
System,8,40,10,0.89,Owner A,"(9, 4)",5
System,9,12,3,0.98,Owner C,"(20, 11)",5
System,10,24,6,0.78,Owner A,"(37, 14)",5
System,11,36,9,0.97,Owner B,"(35, 8)",5
System,12,28,7,0.89,Owner B,"(15, 13)",5
System,13,32,8,0.93,Owner B,"(39, 1)",5
System,14,12,3,0.72,Owner C,"(29, 11)",5
System,15,12,3,0.93,Owner C,"(14, 13)",5
System,16,12,3,0.87,Owner A,"(17, 8)",5
System,17,24,6,0.83,Owner C,"(36, 1)",5
System,18,40,10,0.72,Owner E,"(22, 8)",5
System,19,24,6,0.87,Owner E,"(32, 6)",5
System,20,24,6,0.79,Owner B,"(7, 7)",5
System,21,32,8,0.98,Owner B,"(16, 12)",5
System,22,40,10,0.87,Owner D,"(0, 10)",5
System,23,24,6,0.74,Owner B,"(14, 14)",5
System,24,12,3,0.92,Owner A,"(33, 4)",5
System,25,36,9,0.78,Owner B,"(12, 1)",5
System,26,28,7,0.97,Owner C,"(6, 7)",5
System,27,40,10,0.9,Owner D,"(25, 5)",5
System,28,40,10,0.78,Owner B,"(2, 3)",5
System,29,12,3,0.8,Owner C,"(31, 1)",5
System,30,40,10,0.78,Owner A,"(39, 11)",5
System,31,40,10,0.76,Owner A,"(5, 8)",5
System,32,20,5,0.93,Owner B,"(16, 0)",5
System,33,36,9,0.99,Owner E,"(20, 1)",5
System,34,24,6,0.82,Owner C,"(10, 4)",5
System,35,36,9,0.86,Owner D,"(37, 3)",5
System,36,16,4,0.86,Owner E,"(36, 5)",5
System,37,16,4,0.84,Owner C,"(4, 5)",5
System,38,40,10,0.82,Owner E,"(0, 1)",5
System,39,16,4,0.81,Owner D,"(21, 7)",5
System,40,12,3,0.96,Owner E,"(18, 9)",5
System,41,20,5,0.73,Owner A,"(35, 1)",5
System,42,36,9,0.88,Owner E,"(24, 7)",5
System,43,8,2,0.76,Owner C,"(16, 3)",5
System,44,32,8,0.71,Owner C,"(39, 13)",5
System,45,40,10,0.91,Owner B,"(0, 8)",5
System,46,16,4,0.77,Owner D,"(10, 0)",5
System,47,24,6,0.91,Owner E,"(26, 0)",5
System,48,8,2,0.82,Owner E,"(9, 2)",5
System,49,4,1,0.98,Owner D,"(0, 4)",5
System,50,8,2,0.86,Owner E,"(10, 3)",5
System,51,24,6,0.8,Owner C,"(28, 2)",5
System,52,12,3,0.86,Owner D,"(3, 14)",5
System,53,28,7,0.76,Owner D,"(5, 6)",5
System,54,40,10,0.81,Owner C,"(19, 5)",5
System,55,16,4,0.78,Owner B,"(15, 10)",5
System,56,8,2,0.91,Owner B,"(39, 3)",5
System,57,20,5,0.71,Owner E,"(33, 6)",5
System,58,20,5,0.77,Owner D,"(16, 4)",5
System,59,36,9,0.92,Owner B,"(1, 9)",5
System,60,4,1,0.97,Owner A,"(12, 6)",5
System,61,4,1,0.76,Owner B,"(24, 4)",5
System,62,12,3,0.84,Owner D,"(9, 3)",5
System,63,40,10,0.91,Owner B,"(25, 8)",5
System,64,24,6,0.75,Owner D,"(3, 10)",5
System,65,4,1,0.89,Owner A,"(33, 11)",5
System,66,40,10,0.89,Owner A,"(17, 1)",5
System,67,28,7,0.93,Owner B,"(24, 3)",5
System,68,32,8,0.89,Owner A,"(34, 4)",5
System,69,16,4,0.98,Owner D,"(2, 12)",5
System,70,4,1,0.75,Owner C,"(13, 12)",5
System,71,28,7,0.81,yxel,"(4, 11)",5
System,72,16,4,0.8,Owner A,"(38, 13)",5
System,73,20,5,0.86,Owner D,"(32, 0)",5
System,74,36,9,0.89,Owner A,"(32, 3)",5
System,75,32,8,0.8,Owner C,"(37, 11)",5
System,76,16,4,0.75,Owner A,"(2, 10)",5
System,77,12,3,0.88,Owner A,"(18, 2)",5
System,78,16,4,0.8,Owner A,"(19, 13)",5
System,79,8,2,0.97,Owner B,"(7, 13)",5
System,80,20,5,0.74,Owner C,"(18, 3)",5

Type,Source,Destination,Ships,Turns,Owner,Year
